step,env_id,left_force_n,right_force_n,contact_force_balance,left_friction_force_n,right_friction_force_n,left_joint_torque_nm,right_joint_torque_nm,left_joint_position,right_joint_position,left_joint_target,right_joint_target,object_lift_m,object_gripper_slip_m,object_relative_x_m,object_relative_y_m,object_relative_z_m,alignment_error_m,reference_step,retention_latched,base_tilt_rad,support_count,terminated,truncated
0,0,0.0,0.0,0.0,0.0,0.0,-0.09920501708984375,-0.09856146574020386,0.032889578491449356,-0.03246734291315079,0.032451000064611435,-0.0329039990901947,0.0,0.2894846200942993,0.19740843772888184,0.08373808860778809,-0.194471538066864,0.0,1,0,0.001256996183656156,4,0,0
2,0,0.0,0.0,0.0,0.0,0.0,-0.1937359720468521,-0.1912095844745636,0.034316759556531906,-0.031070446595549583,0.032451000064611435,-0.0329039990901947,0.0,0.2711513936519623,0.19431638717651367,0.08102481812238693,-0.17087775468826294,0.0,3,0,0.012427382171154022,4,0,0
4,0,0.0,0.0,0.0,0.0,0.0,-0.2090672105550766,-0.21166417002677917,0.03500000014901161,-0.030190924182534218,0.032451000064611435,-0.0329039990901947,0.0,0.25226283073425293,0.18823134899139404,0.07693564146757126,-0.14928632974624634,0.0,5,0,0.03606746718287468,4,0,0
6,0,0.0,0.0,0.0,0.0,0.0,-0.20824889838695526,-0.22266055643558502,0.03500000014901161,-0.030199984088540077,0.032451000064611435,-0.0329039990901947,0.0,0.23918138444423676,0.18489396572113037,0.07089877873659134,-0.13414663076400757,0.0,7,0,0.05934838205575943,4,0,0
8,0,0.0,0.0,0.0,0.0,0.0,-0.2019260823726654,-0.7351158261299133,0.03500000014901161,-0.029285384342074394,0.032451000064611435,-0.0329039990901947,0.0,0.231516033411026,0.18635737895965576,0.0632367879152298,-0.12194961309432983,0.0,9,0,0.07322501391172409,4,0,0
10,0,0.0,0.0,0.0,0.0,0.0,-0.1825561821460724,-0.1739281266927719,0.03482997417449951,-0.030335277318954468,0.032451000064611435,-0.0329039990901947,0.0,0.22464503347873688,0.18122780323028564,0.059497348964214325,-0.1186673641204834,0.0,11,0,0.08491094410419464,4,0,0
12,0,0.0,0.0,0.0,0.0,0.0,-0.20227906107902527,-0.19704948365688324,0.03492622449994087,-0.030565321445465088,0.032451000064611435,-0.0329039990901947,0.0,0.21773318946361542,0.1802675724029541,0.054520055651664734,-0.10926532745361328,0.0,13,0,0.07691594213247299,4,0,0
14,0,0.0,0.0,0.0,0.0,0.0,-0.18921004235744476,-0.19300368428230286,0.03500000014901161,-0.030283890664577484,0.032451000064611435,-0.0329039990901947,0.0,0.21178895235061646,0.18026351928710938,0.05007652938365936,-0.09925705194473267,0.0,15,0,0.061303120106458664,4,0,0
16,0,0.0,0.0,0.0,0.0,0.0,-0.187049001455307,-0.16110441088676453,0.03500000014901161,-0.030061928555369377,0.032451000064611435,-0.0329039990901947,0.0,0.20834408700466156,0.17865252494812012,0.046218570321798325,-0.09671801328659058,0.0,17,0,0.04992806166410446,4,0,0
18,0,0.0,0.0,0.0,0.0,0.0,-0.1868080049753189,-0.15662862360477448,0.03499938175082207,-0.030389454215765,0.032451000064611435,-0.0329039990901947,0.0,0.20749397575855255,0.17561787366867065,0.041766852140426636,-0.10231149196624756,0.0,19,0,0.042464014142751694,4,0,0
20,0,0.0,0.0,0.0,0.0,0.0,-0.13852620124816895,-0.13504371047019958,0.03488357365131378,-0.030712934210896492,0.032451000064611435,-0.0329039990901947,0.0,0.20571531355381012,0.17159080505371094,0.03559792414307594,-0.10774123668670654,0.0,21,0,0.03660351037979126,4,0,0
